"reviews_per_month","neighbourhood_group","room_type","price","minimum_nights","calculated_host_listings_count"
0.21,"Brooklyn","Private room",149,1,6
0.38,"Manhattan","Entire home/apt",225,1,2
4.64,"Brooklyn","Entire home/apt",89,1,1
0.1,"Manhattan","Entire home/apt",80,10,1
0.59,"Manhattan","Entire home/apt",200,3,1
0.4,"Brooklyn","Private room",60,45,1
3.47,"Manhattan","Private room",79,2,1
0.99,"Manhattan","Private room",79,2,1
1.33,"Manhattan","Entire home/apt",150,1,4
0.43,"Manhattan","Entire home/apt",135,5,1
1.5,"Manhattan","Private room",85,2,1
1.34,"Brooklyn","Private room",89,4,3
0.91,"Manhattan","Private room",85,2,1
0.22,"Manhattan","Entire home/apt",120,90,1
1.2,"Brooklyn","Entire home/apt",140,2,1
1.72,"Brooklyn","Entire home/apt",215,2,1
2.12,"Manhattan","Private room",140,1,1
4.44,"Brooklyn","Entire home/apt",99,3,1
0.07,"Brooklyn","Entire home/apt",299,3,1
1.09,"Brooklyn","Private room",130,2,6
0.37,"Brooklyn","Private room",80,1,6
0.61,"Brooklyn","Private room",110,2,6
0.73,"Brooklyn","Entire home/apt",120,2,2
1.37,"Brooklyn","Private room",60,1,2
0.49,"Manhattan","Entire home/apt",150,10,1
1.11,"Manhattan","Private room",44,3,3
0.24,"Manhattan","Entire home/apt",180,14,1
2.04,"Manhattan","Private room",50,3,3
1.42,"Manhattan","Private room",52,2,1
1.65,"Brooklyn","Private room",55,4,3
2.37,"Manhattan","Private room",50,3,3
0.66,"Brooklyn","Private room",70,1,2
1.41,"Brooklyn","Private room",89,4,3
1.96,"Brooklyn","Entire home/apt",85,2,2
1.81,"Manhattan","Shared room",40,1,4
2.08,"Manhattan","Private room",68,2,2
0.39,"Brooklyn","Entire home/apt",120,3,1
0.23,"Brooklyn","Private room",120,7,1
0.69,"Manhattan","Private room",135,4,1
0.84,"Manhattan","Entire home/apt",150,7,1
0.49,"Brooklyn","Entire home/apt",150,29,1
2.25,"Queens","Private room",130,3,1
0.52,"Brooklyn","Entire home/apt",110,7,1
0.1,"Brooklyn","Entire home/apt",115,3,1
1.16,"Brooklyn","Private room",80,3,2
1.01,"Brooklyn","Private room",80,1,3
0.63,"Manhattan","Entire home/apt",151,2,1
0.7,"Brooklyn","Entire home/apt",228,3,1
2.82,"Brooklyn","Entire home/apt",144,2,1
0.22,"Manhattan","Entire home/apt",200,7,1
0.9,"Brooklyn","Entire home/apt",150,30,1
0.17,"Manhattan","Private room",110,5,1
2.49,"Manhattan","Private room",69,2,2
1.19,"Brooklyn","Private room",49,4,3
0.3,"Manhattan","Entire home/apt",180,30,1
0.38,"Brooklyn","Private room",80,2,1
0.12,"Manhattan","Entire home/apt",375,180,1
0.57,"Manhattan","Entire home/apt",250,2,2
1.33,"Brooklyn","Entire home/apt",200,30,2
0.23,"Brooklyn","Private room",55,7,2
1.65,"Manhattan","Private room",52,30,1
0.16,"Brooklyn","Entire home/apt",225,3,1
4.72,"Manhattan","Private room",80,1,2
1.4,"Brooklyn","Entire home/apt",275,1,1
1.26,"Manhattan","Private room",99,1,2
1.64,"Manhattan","Entire home/apt",225,4,1
0.43,"Manhattan","Entire home/apt",230,9,1
0.43,"Manhattan","Private room",51,7,1
1.6,"Manhattan","Private room",65,2,2
0.92,"Brooklyn","Private room",105,2,1
0.2,"Manhattan","Entire home/apt",190,5,1
1.5,"Manhattan","Private room",200,1,1
0.22,"Queens","Private room",70,30,1
1.28,"Brooklyn","Private room",95,3,1
1.65,"Manhattan","Private room",150,3,1
0.54,"Brooklyn","Private room",145,3,4
0.49,"Manhattan","Entire home/apt",110,31,1
0.62,"Manhattan","Entire home/apt",285,5,1
0.15,"Brooklyn","Entire home/apt",130,6,1
